条码,FAI1_1,FAI1_2,FAI1_3,FAI1_4,FAI2_1,FAI2_2,FAI2_3,FAI3(视觉),FAI4(视觉),FAI5(视觉),FAI6_1(视觉),FAI6_2(视觉),FAI7(视觉),FAI10_1,FAI10_2,FAI10_3,FAI12,FAI13,FAI14_1(视觉),FAI14_2(视觉),FAI15(视觉),FAI16(视觉),FAI17(视觉),FAI18(视觉),FAI19(视觉),FAI20(视觉),FAI24(视觉),FAI25(视觉)
0,2.038,2.067,1.91,2.024,1.89,1.915,1.878,14.206,20.355,16.627,-47.023,-52.865,9.388,0.399,0.414,0.522,0.22,1.998,1.614,0.936,3.315,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,1.999,1.998,2.049,1.988,2.029,2.079,2.015,14.156,20.337,16.627,-39.953,-65.231,9.388,0.457,0.76,0.776,0.229,2.081,1.614,0.936,3.189,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.684,7.167,3.784,3.818,3.688,3.713,3.798,14.12,20.352,16.609,-41.251,-53.779,9.388,2.993,0.498,0.715,-0.003,3.358,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.74,7.132,3.92,3.966,3.835,3.829,3.861,14.144,20.375,16.608,-43.53,-61.221,9.388,1.241,0.923,0.507,0.182,3.703,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,2.038,2.067,1.911,2.026,1.894,1.917,1.882,14.209,20.354,16.627,-47.023,-52.865,9.388,0.394,0.416,0.522,0.196,2,1.614,0.936,3.315,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,1.995,1.995,2.028,1.981,2.03,2.079,2.014,14.158,20.334,16.627,-39.953,-65.231,9.388,0.458,0.76,0.775,0.21,2.075,1.614,0.936,3.189,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.677,7.174,3.786,3.821,3.692,3.715,3.798,14.116,20.346,16.609,-41.251,-53.779,9.388,2.992,0.523,0.713,-0.001,3.36,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.754,7.141,3.924,3.973,3.841,3.831,3.859,14.137,20.372,16.608,-43.53,-61.221,9.388,1.343,0.908,0.511,0.178,3.729,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,2.039,2.068,1.913,2.024,1.894,1.917,1.881,14.211,20.352,16.627,-47.023,-52.865,9.388,0.395,0.413,0.522,0.19,2.003,1.614,0.936,3.315,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,1.996,1.996,2.013,1.982,2.03,2.079,2.015,14.151,20.334,16.627,-39.953,-65.231,9.388,0.458,0.76,0.776,0.207,2.075,1.614,0.936,3.189,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.637,7.139,3.79,3.828,3.687,3.709,3.789,14.122,20.346,16.609,-41.251,-53.779,9.388,2.997,0.559,0.728,0.002,3.364,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.747,6.994,3.933,3.975,3.838,3.82,3.856,14.135,20.374,16.608,-43.53,-61.221,9.388,1.427,0.979,0.55,0.179,3.73,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,2.037,2.07,1.953,2.024,1.892,1.915,1.878,14.209,20.355,16.627,-47.023,-52.865,9.388,0.394,0.411,0.522,0.213,2.001,1.614,0.936,3.315,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,1.998,1.997,2.042,2.025,2.026,2.075,2.011,14.157,20.336,16.627,-39.953,-65.231,9.388,0.457,0.759,0.777,0.23,2.077,1.614,0.936,3.189,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.646,7.417,3.758,3.792,3.632,3.658,3.796,14.122,20.345,16.609,-41.251,-53.779,9.388,2.992,0.484,0.718,0,2.542,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.718,7.318,3.878,3.924,3.834,3.839,3.868,14.138,20.374,16.608,-43.53,-61.221,9.388,1.071,0.648,0.497,0.188,3.627,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,2.04,2.069,1.956,2.026,1.895,1.918,1.882,14.206,20.355,16.627,-47.023,-52.865,9.388,0.397,0.412,0.524,0.2,2.001,1.614,0.936,3.315,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,1.996,1.996,2.03,1.987,2.029,2.077,2.014,14.156,20.337,16.627,-39.953,-65.231,9.388,0.459,0.76,0.777,0.22,2.076,1.614,0.936,3.189,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.639,7.129,3.786,3.818,3.688,3.714,3.798,14.12,20.352,16.609,-41.251,-53.779,9.388,2.992,0.514,0.716,-0.002,3.363,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.733,7.138,3.917,3.964,3.832,3.827,3.859,14.144,20.375,16.608,-43.53,-61.221,9.388,1.327,0.93,0.542,0.187,3.701,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,2.04,2.069,1.957,2.026,1.896,1.919,1.883,14.209,20.354,16.627,-47.023,-52.865,9.388,0.4,0.413,0.525,0.194,2.004,1.614,0.936,3.315,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,1.997,1.997,2.032,1.987,2.031,2.08,2.015,14.158,20.334,16.627,-39.953,-65.231,9.388,0.458,0.759,0.776,0.221,2.078,1.614,0.936,3.189,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.69,7.184,3.786,3.821,3.687,3.711,3.796,14.116,20.346,16.609,-41.251,-53.779,9.388,2.993,0.518,0.725,-0.001,3.367,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.753,7.156,3.923,3.973,3.837,3.828,3.858,14.137,20.372,16.608,-43.53,-61.221,9.388,1.384,0.918,0.512,0.188,3.721,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,2.041,2.07,1.957,2.027,1.894,1.918,1.882,14.211,20.352,16.627,-47.023,-52.865,9.388,0.402,0.412,0.523,0.199,2.003,1.614,0.936,3.315,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,1.999,1.998,2.031,1.985,2.032,2.081,2.017,14.151,20.334,16.627,-39.953,-65.231,9.388,0.458,0.759,0.776,0.221,2.078,1.614,0.936,3.189,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.689,7.135,3.793,3.828,3.682,3.702,3.791,14.122,20.346,16.609,-41.251,-53.779,9.388,2.996,0.555,0.729,0.005,3.373,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
0,3.748,7.015,3.932,3.972,3.836,3.821,3.859,14.135,20.374,16.608,-43.53,-61.221,9.388,1.459,0.996,0.545,0.188,3.725,1.614,0.936,3.554,2.978,9.203,-49.07,-5.948,9.205,33.941,43.335
