条码,FAI1_1,FAI1_2,FAI1_3,FAI1_4,FAI2_1,FAI2_2,FAI2_3,FAI3(视觉),FAI4(视觉),FAI5(视觉),FAI6_1(视觉),FAI6_2(视觉),FAI7(视觉),FAI10_1,FAI10_2,FAI10_3,FAI12,FAI13,FAI14_1(视觉),FAI14_2(视觉),FAI15(视觉),FAI16(视觉),FAI17(视觉),FAI18(视觉),FAI19(视觉),FAI20(视觉),FAI24(视觉),FAI25(视觉)
0,1.622,1.704,1.608,1.697,1.588,1.553,1.65,13.481,19.504,1386.925,-52.036,-48.434,811.267,0.46,0.332,0.318,0.14,1.848,1.863,0.987,2.671,2.92,8.953,45.101,9.098,8.893,26.782,154.935
0,1.764,1.725,1.79,1.649,1.81,1.758,1.709,13.445,19.465,1386.925,-52.029,-47.865,811.267,0.163,0.308,0.338,-0.019,1.649,1.863,0.987,2.767,2.804,8.986,35.38,11.707,8.817,26.782,154.935
0,0,0,0,0,0,0,0,13.488,19.508,1386.925,-51.726,-48.788,811.267,0,0,0,0,0,1.863,0.987,2.665,3.104,8.945,45.481,11.943,8.889,26.782,154.935
